id,direccion,esquina,colonia,alcaldia,boton,altavoz,tipo_de_poste,estatus_conectividad,latitud,longitud,geopoint
6635,AV. DEL TESORO,C. OPALO,ESTRELLA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.473259,-99.116489,"19.473259,-99.116489"
6636,AV. 414,AV. 481,U. H. SAN JUAN DE ARAGON 7A. SECC.,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.47128,-99.075599,"19.47128,-99.075599"
6637,C. CANTERITAS,C. CEDROS,BARRIO LA CANDELARIA TICOMAN,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.521263,-99.13762,"19.521263,-99.13762"
6638,AV. INSURGENTES NORTE,C. NECAXA,GUADALUPE INSURGENTES,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.478189,-99.130277,"19.478189,-99.130277"
6639,AV. MONTEVIDEO,EJE CENTRAL,U. H. LINDAVISTA VALLEJO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.49925,-99.150112,"19.49925,-99.150112"
6640,C. HUTZAILHUITL,C. AXAYACATL,SANTA ISABEL TOLA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.497583,-99.115585,"19.497583,-99.115585"
6641,AV. 602,AV. 699,U. H. CTM. SAN JUAN DE ARAGON,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.452235,-99.053123,"19.452235,-99.053123"
6642,C. FELIPE ANGELES,C. TETECONTLA,ARBOLEDAS,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.560007,-99.129054,"19.560007,-99.129054"
6643,C. RAFAEL L. GUERRA,AND. 2 FERNANDO AMILPA,CTM EL RISCO,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.509383,-99.097747,"19.509383,-99.097747"
6644,AV. CHIQUIHUITE,CJON. WASHINGTON,BARRIO SAN JUAN Y GUADALUPE TICOMAN,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.520804,-99.131117,"19.520804,-99.131117"
6645,C. CORONA DEL ROSAL,C. XOCHITLA,DEL CARMEN CUAUTEPEC,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.542668,-99.131829,"19.542668,-99.131829"
6646,AV REPUBLICA MEXICANA,CDA. EMILIANO ZAPATA,SAN FELIPE DE JESUS,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.490347,-99.085553,"19.490347,-99.085553"
6647,C. GRAL. MARIANO SALAS,C. VALENTIN CANALIZO,LA DINAMITA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.491231,-99.103629,"19.491231,-99.103629"
6648,C. CABO FINISTERRE,C. CABO PUNTA MAISI,ATZACOALCO,GUSTAVO A. MADERO,SIN BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.498534,-99.097463,"19.498534,-99.097463"
6649,C. ADOLFO LOPEZ MATEOS,C. PUERTO LA PIEDAD,LOMA DE LA PALMA,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.553413,-99.140731,"19.553413,-99.140731"
6650,C. JOHN F. KENNEDY,C. ORTIZ RUBIO (C. CUAUHTEMOC),BENITO JUAREZ,GUSTAVO A. MADERO,CON BOTON,CON ALTAVOZ,9m,WIFI GRATUITO_ACTIVO,19.5303,-99.139488,"19.5303,-99.139488"
